sku,name,category,price,oldPrice,sizes,colorNames,colorHex,description,image1,image2,rating,reviewsCount,isNew,isBestSeller,isSale,stock
"KB-001","Noor Digital Print Lawn Suit","Unstitched Lawn","5520","7364","XS;S;M;L;XL","Ivory;Emerald;Midnight Blue","#F1ECDF;#1F5C4E;#1B2A4A","The Noor Digital Print Lawn Suit is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=1","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=2","4.9","33","FALSE","FALSE","TRUE","21"
"KB-002","Zarish Straight Shirt with Sharara","Ready to Wear","8780","","XS;S;M;L;XL","Onyx;Maroon;Sand","#1B1B1B;#6E1F2A;#D8C3A0","The Zarish Straight Shirt with Sharara is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=8","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=9","4.5","169","TRUE","FALSE","FALSE","11"
"KB-003","Meherbano Silk Formal Shirt & Palazzo","Formal & Party Wear","11445","","XS;S;M;L;XL","Antique Gold;Rose Dust;Ivory","#C6A664;#C79E9E;#F1ECDF","The Meherbano Silk Formal Shirt & Palazzo is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=15","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=16","4.7","178","FALSE","TRUE","FALSE","6"
"KB-004","Anaya Heavy Embellished Gharara Set","Bridal Couture","12416","","XS;S;M;L;XL","Emerald;Midnight Blue;Onyx","#1F5C4E;#1B2A4A;#1B1B1B","The Anaya Heavy Embellished Gharara Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=22","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=23","4.8","103","FALSE","FALSE","FALSE","7"
"KB-005","Sana Embroidered Khaddar Shawl","Winter Shawls","14743","","XS;S;M;L;XL","Maroon;Sand;Antique Gold","#6E1F2A;#D8C3A0;#C6A664","The Sana Embroidered Khaddar Shawl is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=29","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=30","4.2","228","FALSE","FALSE","FALSE","20"
"KB-006","Alina Linen Casual Shirt","Casual Kurtas","12730","16969","XS;S;M;L;XL","Rose Dust;Ivory;Emerald","#C79E9E;#F1ECDF;#1F5C4E","The Alina Linen Casual Shirt is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=36","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=37","4.7","115","TRUE","FALSE","TRUE","6"
"KB-007","Rania Embroidered Lawn 3-Piece","Unstitched Lawn","19130","","XS;S;M;L;XL","Midnight Blue;Onyx;Maroon","#1B2A4A;#1B1B1B;#6E1F2A","The Rania Embroidered Lawn 3-Piece is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=43","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=44","4.7","47","FALSE","FALSE","FALSE","10"
"KB-008","Mahira A-Line Kurta Set","Ready to Wear","21253","","XS;S;M;L;XL","Sand;Antique Gold;Rose Dust","#D8C3A0;#C6A664;#C79E9E","The Mahira A-Line Kurta Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=50","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=51","4.5","66","FALSE","FALSE","FALSE","15"
"KB-009","Zoya Net Embellished Maxi","Formal & Party Wear","23361","","XS;S;M;L;XL","Ivory;Emerald;Midnight Blue","#F1ECDF;#1F5C4E;#1B2A4A","The Zoya Net Embellished Maxi is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=57","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=58","4.9","213","FALSE","TRUE","FALSE","4"
"KB-010","Iman Heavy Embellished Gharara Set","Bridal Couture","6566","","XS;S;M;L;XL","Onyx;Maroon;Sand","#1B1B1B;#6E1F2A;#D8C3A0","The Iman Heavy Embellished Gharara Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=64","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=65","4.5","50","TRUE","FALSE","FALSE","21"
"KB-011","Areeba Quilted Velvet Kurta","Winter Shawls","6510","8676","XS;S;M;L;XL","Antique Gold;Rose Dust;Ivory","#C6A664;#C79E9E;#F1ECDF","The Areeba Quilted Velvet Kurta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=71","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=72","4.2","98","FALSE","FALSE","TRUE","8"
